FIPS,County,State,ColorCode
1001,Autauga,Alabama,1
1003,Baldwin,Alabama,1
1005,Barbour,Alabama,2
1007,Bibb,Alabama,5
1009,Blount,Alabama,4
1011,Bullock,Alabama,2
1013,Butler,Alabama,2
1015,Calhoun,Alabama,1
1017,Chambers,Alabama,2
1019,Cherokee,Alabama,8
1021,Chilton,Alabama,4
1023,Choctaw,Alabama,2
1025,Clarke,Alabama,2
1027,Clay,Alabama,4
1029,Cleburne,Alabama,4
1031,Coffee,Alabama,1
1033,Colbert,Alabama,4
1035,Conecuh,Alabama,2
1037,Coosa,Alabama,2
1039,Covington,Alabama,4
1041,Crenshaw,Alabama,4
1043,Cullman,Alabama,4
1045,Dale,Alabama,1
1047,Dallas,Alabama,2
1049,DeKalb,Alabama,4
1051,Elmore,Alabama,1
1053,Escambia,Alabama,2
1055,Etowah,Alabama,4
1057,Fayette,Alabama,4
1059,Franklin,Alabama,4
1061,Geneva,Alabama,4
1063,Greene,Alabama,2
1065,Hale,Alabama,2
1067,Henry,Alabama,4
1069,Houston,Alabama,2
1071,Jackson,Alabama,4
1073,Jefferson,Alabama,2
1075,Lamar,Alabama,4
1077,Lauderdale,Alabama,4
1079,Lawrence,Alabama,4
1081,Lee,Alabama,1
1083,Limestone,Alabama,4
1085,Lowndes,Alabama,2
1087,Macon,Alabama,2
1089,Madison,Alabama,1
1091,Marengo,Alabama,2
1093,Marion,Alabama,4
1095,Marshall,Alabama,4
1097,Mobile,Alabama,2
1099,Monroe,Alabama,2
1101,Montgomery,Alabama,2
1103,Morgan,Alabama,4
1105,Perry,Alabama,2
1107,Pickens,Alabama,2
1109,Pike,Alabama,2
1111,Randolph,Alabama,4
1113,Russell,Alabama,2
1115,St. Clair,Alabama,4
1117,Shelby,Alabama,1
1119,Sumter,Alabama,2
1121,Talladega,Alabama,2
1123,Tallapoosa,Alabama,4
1125,Tuscaloosa,Alabama,1
1127,Walker,Alabama,4
1129,Washington,Alabama,4
1131,Wilcox,Alabama,2
1133,Winston,Alabama,4
2013,Aleutians East,Alaska,6
2016,Aleutians West,Alaska,6
2020,Anchorage,Alaska,1
2050,Bethel,Alaska,7
2060,Bristol Bay,Alaska,7
2068,Denali,Alaska,4
2070,Dillingham,Alaska,7
2090,Fairbanks North Star,Alaska,1
2100,Haines,Alaska,4
2110,Juneau,Alaska,1
2122,Kenai Peninsula,Alaska,4
2130,Ketchikan Gateway,Alaska,1
2150,Kodiak Island,Alaska,6
2164,Lake and Peninsula,Alaska,7
2170,Matanuska-Susitna,Alaska,4
2180,Nome,Alaska,7
2185,North Slope,Alaska,7
2188,Northwest Arctic,Alaska,7
2201,Prince of Wales-Outer Ketchikan,Alaska,7
2220,Sitka,Alaska,1
2232,Skagway-Hoonah-Angoon,Alaska,4
2240,Southeast Fairbanks,Alaska,5
2261,Valdez-Cordova,Alaska,4
2270,Wade Hampton,Alaska,7
2280,Wrangell-Petersburg,Alaska,4
2282,Yakutat,Alaska,7
2290,Yukon-Koyukuk,Alaska,7
4001,Apache,Arizona,7
4003,Cochise,Arizona,3
4005,Coconino,Arizona,1
4007,Gila,Arizona,4
4009,Graham,Arizona,3
4011,Greenlee,Arizona,3
4012,La Paz,Arizona,4
4013,Maricopa,Arizona,1
4015,Mohave,Arizona,4
4017,Navajo,Arizona,7
4019,Pima,Arizona,3
4021,Pinal,Arizona,3
4023,Santa Cruz,Arizona,3
4025,Yavapai,Arizona,4
4027,Yuma,Arizona,3
5001,Arkansas,Arkansas,4
5003,Ashley,Arkansas,4
5005,Baxter,Arkansas,4
5007,Benton,Arkansas,1
5009,Boone,Arkansas,4
5011,Bradley,Arkansas,2
5013,Calhoun,Arkansas,4
5015,Carroll,Arkansas,4
5017,Chicot,Arkansas,2
5019,Clark,Arkansas,2
5021,Clay,Arkansas,4
5023,Cleburne,Arkansas,4
5025,Cleveland,Arkansas,4
5027,Columbia,Arkansas,2
5029,Conway,Arkansas,4
5031,Craighead,Arkansas,1
5033,Crawford,Arkansas,4
5035,Crittenden,Arkansas,2
5037,Cross,Arkansas,4
5039,Dallas,Arkansas,2
5041,Desha,Arkansas,2
5043,Drew,Arkansas,2
5045,Faulkner,Arkansas,1
5047,Franklin,Arkansas,4
5049,Fulton,Arkansas,8
5051,Garland,Arkansas,4
5053,Grant,Arkansas,8
5055,Greene,Arkansas,4
5057,Hempstead,Arkansas,2
5059,Hot Spring,Arkansas,4
5061,Howard,Arkansas,4
5063,Independence,Arkansas,4
5065,Izard,Arkansas,4
5067,Jackson,Arkansas,4
5069,Jefferson,Arkansas,2
5071,Johnson,Arkansas,4
5073,Lafayette,Arkansas,2
5075,Lawrence,Arkansas,4
5077,Lee,Arkansas,5
5079,Lincoln,Arkansas,5
5081,Little River,Arkansas,4
5083,Logan,Arkansas,4
5085,Lonoke,Arkansas,1
5087,Madison,Arkansas,4
5089,Marion,Arkansas,4
5091,Miller,Arkansas,2
5093,Mississippi,Arkansas,2
5095,Monroe,Arkansas,2
5097,Montgomery,Arkansas,4
5099,Nevada,Arkansas,2
5101,Newton,Arkansas,4
5103,Ouachita,Arkansas,2
5105,Perry,Arkansas,4
5107,Phillips,Arkansas,2
5109,Pike,Arkansas,4
5111,Poinsett,Arkansas,4
5113,Polk,Arkansas,4
5115,Pope,Arkansas,4
5117,Prairie,Arkansas,4
5119,Pulaski,Arkansas,2
5121,Randolph,Arkansas,4
5123,St. Francis,Arkansas,2
5125,Saline,Arkansas,1
5127,Scott,Arkansas,4
5129,Searcy,Arkansas,4
5131,Sebastian,Arkansas,1
5133,Sevier,Arkansas,3
5135,Sharp,Arkansas,4
5137,Stone,Arkansas,4
5139,Union,Arkansas,2
