Metacluster,Race_Label,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
VA + North NC,Black,73.34065,74.57152,68.76477,42.46405,41.2465,45.76933,40.76296,58.99113,51.67892,37.75781,73.12659,47.06236,51.01435,33.74591,20.62674,34.39073,28.56495,36.55955,31.36529,28.98459,26.36367,21.61791,17.23447,33.53254,20.34294,30.01173,18.18404,26.76578,28.14616,15.3469,29.89204,9.76794,30.09349,22.79403,32.28784,20.10044,19.96798,27.35994,29.25436
VA + North NC,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA + North NC,White,41.3522,36.74085,36.3381,31.84663,31.99752,32.40165,33.55615,33.06091,33.85993,33.01032,29.94404,36.57221,34.92607,31.17261,29.84823,29.06595,29.916,30.85948,29.42604,37.14708,34.95362,39.35596,43.52314,44.10768,48.47189,49.68835,48.38127,54.56908,54.78798,54.03359,52.85086,52.58863,60.11183,53.09519,54.77289,58.84237,56.54525,59.53153,68.05634
South NC + SC + GA,Black,55.48129,40.41288,30.96912,24.46552,46.65478,32.55799,18.39141,39.29918,54.74955,39.09779,38.54301,52.75967,43.10576,35.96719,51.59334,39.53935,47.44525,45.03037,44.59689,42.20971,23.80085,38.41469,35.61807,29.49977,21.24452,24.16574,31.45949,34.42418,27.95815,39.01308,25.67558,28.10074,24.7579,21.2362,23.59211,39.1059,32.00819,30.28576,38.12891
South NC + SC + GA,Other,,,,,,,,,,,,,,,,,,,,,,62.4271,,47.62647,,,79.03056,,81.85993,66.7629,,43.98449,,42.26266,59.07668,33.13951,35.74546,109.41577,58.60283
South NC + SC + GA,White,29.67935,30.1101,31.16509,32.31079,29.93871,34.57464,25.34052,31.21498,35.56567,33.45419,31.75415,31.72142,34.67076,35.83373,35.89266,34.85867,31.2319,32.0819,33.3444,29.28908,32.89566,42.2319,38.97901,37.76468,39.16382,48.9828,49.32213,47.68366,50.72235,55.1532,50.7118,49.22711,52.51813,54.96626,56.24716,56.04646,61.23498,64.13982,74.43726
Kentucky,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,White,27.14373,29.82609,31.62313,35.24692,26.58894,31.04785,29.92109,28.56598,35.23787,23.31182,33.92736,31.69142,32.71536,30.66153,40.14823,34.7551,34.3144,37.1436,34.77044,35.16523,30.51151,45.69332,47.22354,53.62719,60.98013,52.47888,65.397,62.19745,70.71177,67.76692,71.46609,94.16967,96.39351,86.35233,73.94889,78.21866,82.17057,73.98053,75.82584
Tennessee,Black,41.96803,,,34.35923,,,44.93074,,41.70255,,23.39577,57.58096,,25.29909,40.11059,29.30504,45.64582,53.69171,51.69695,27.34021,31.47273,46.20133,35.17661,30.53764,49.03501,24.6025,30.861,21.20957,45.06618,50.8609,42.45804,34.04266,42.46369,31.77027,46.46651,41.3919,46.3827,56.40677,88.93438
